[04/Jul/2026 21:03:37] "GET /api/listings/ HTTP/1.1" 200 76394
[04/Jul/2026 21:03:37,630] - Broken pipe from ('127.0.0.1', 57362)
[04/Jul/2026 21:04:48] "GET /api/orders/ HTTP/1.1" 200 3362
[04/Jul/2026 21:04:48] "GET /api/credits/me/ HTTP/1.1" 200 1508
[04/Jul/2026 21:04:48] "GET /api/orders/ HTTP/1.1" 200 3362
[04/Jul/2026 21:04:48] "GET /api/credits/me/ HTTP/1.1" 200 1508
[04/Jul/2026 21:04:50] "GET /api/orders/ HTTP/1.1" 200 3362
[04/Jul/2026 21:04:50] "GET /api/credits/me/ HTTP/1.1" 200 1508
[04/Jul/2026 21:04:50] "GET /api/orders/ HTTP/1.1" 200 3362
[04/Jul/2026 21:04:50] "GET /api/credits/me/ HTTP/1.1" 200 1508
[04/Jul/2026 21:04:58] "GET /api/credits/me/ HTTP/1.1" 200 1508
[04/Jul/2026 21:04:58] "GET /api/credits/me/ HTTP/1.1" 200 1508
[04/Jul/2026 21:05:21] "POST /api/grade/inspect/return/async/ HTTP/1.1" 202 67
[04/Jul/2026 21:05:23] "GET /api/grade/inspect/status/26b472e7a63e450789a41a4fb969d0c8/ HTTP/1.1" 200 67
[04/Jul/2026 21:05:26] "GET /api/grade/inspect/status/26b472e7a63e450789a41a4fb969d0c8/ HTTP/1.1" 200 67
[04/Jul/2026 21:05:28] "GET /api/grade/inspect/status/26b472e7a63e450789a41a4fb969d0c8/ HTTP/1.1" 200 67
[04/Jul/2026 21:05:31] "GET /api/grade/inspect/status/26b472e7a63e450789a41a4fb969d0c8/ HTTP/1.1" 200 67
Using a slow image processor as `use_fast` is unset and a slow processor was saved with this model. `use_fast=True` will be the default behavior in v4.52, even if the model was saved with a slow processor. This will result in minor differences in outputs. You'll still be able to use a slow processor with `use_fast=False`.
[04/Jul/2026 21:05:33] "GET /api/grade/inspect/status/26b472e7a63e450789a41a4fb969d0c8/ HTTP/1.1" 200 352
[04/Jul/2026 21:05:51] "GET /api/listings/mine/ HTTP/1.1" 200 2389
[04/Jul/2026 21:05:51] "GET /api/credits/me/ HTTP/1.1" 200 1508
[04/Jul/2026 21:05:51] "GET /api/listings/mine/ HTTP/1.1" 200 2389
[04/Jul/2026 21:05:51] "GET /api/credits/me/ HTTP/1.1" 200 1508
[04/Jul/2026 21:05:52] "GET /api/auth/me/ HTTP/1.1" 200 105
[04/Jul/2026 21:05:52] "GET /api/auth/me/ HTTP/1.1" 200 105
[04/Jul/2026 21:05:53] "GET /api/listings/mine/ HTTP/1.1" 200 2389
[04/Jul/2026 21:05:53] "GET /api/credits/me/ HTTP/1.1" 200 1508
[04/Jul/2026 21:05:53] "GET /api/credits/me/ HTTP/1.1" 200 1508
[04/Jul/2026 21:05:53] "GET /media/listings/3e36f98b6b89472d96bd5a388cd59bef_WhatsApp%20Image%202026-07-04%20at%201.03.57%20AM.jpeg HTTP/1.1" 304 0
[04/Jul/2026 21:05:54] "GET /api/auth/me/ HTTP/1.1" 200 105
[04/Jul/2026 21:05:54] "GET /api/auth/me/ HTTP/1.1" 200 105
[04/Jul/2026 21:05:54] "GET /api/credits/me/ HTTP/1.1" 200 1508
[04/Jul/2026 21:05:54] "GET /api/listings/mine/ HTTP/1.1" 200 2389
[04/Jul/2026 21:05:54] "GET /api/credits/me/ HTTP/1.1" 200 1508
